,案號,區域,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數,投票率(%),有效同意票數對投票權人數百分比(%)
0,第15案,宜蘭縣礁溪鄉,5360,10197,15557,1238,16795,31084,54.03%,17.24%
0,第15案,宜蘭縣壯圍鄉,3935,7302,11237,1133,12370,21447,57.68%,18.35%
0,第15案,宜蘭縣員山鄉,4651,9182,13833,1333,15166,28131,53.91%,16.53%
0,第15案,宜蘭縣冬山鄉,8099,14995,23094,1420,24514,45405,53.99%,17.84%
0,第15案,宜蘭縣五結鄉,6188,11329,17517,1217,18734,34892,53.69%,17.73%
0,第15案,宜蘭縣三星鄉,3118,6076,9194,797,9991,19051,52.44%,16.37%
0,第15案,宜蘭縣大同鄉,528,2137,2665,217,2882,4935,58.4%,10.7%
0,第15案,宜蘭縣南澳鄉,538,2088,2626,183,2809,4644,60.49%,11.58%
0,第15案,花蓮縣,38850,97972,136822,9514,146336,278059,52.63%,13.97%
0,第15案,花蓮縣花蓮市,13072,30596,43668,2054,45722,84807,53.91%,15.41%
0,第15案,花蓮縣鳳林鎮,1327,3547,4874,466,5340,9676,55.19%,13.71%
0,第15案,花蓮縣玉里鎮,2402,6382,8784,997,9781,20650,47.37%,11.63%
0,第15案,花蓮縣新城鄉,2473,6193,8666,586,9252,17029,54.33%,14.52%
0,第15案,花蓮縣吉安鄉,10232,26015,36247,1847,38094,72116,52.82%,14.19%
0,第15案,花蓮縣壽豐鄉,2363,5703,8066,734,8800,15847,55.53%,14.91%
0,第15案,花蓮縣光復鄉,1345,3871,5216,674,5890,11417,51.59%,11.78%
0,第15案,花蓮縣豐濱鄉,520,1207,1727,271,1998,4395,45.46%,11.83%
0,第15案,花蓮縣瑞穗鄉,1135,3451,4586,509,5095,10279,49.57%,11.04%
0,第15案,花蓮縣富里鄉,1034,2693,3727,424,4151,9065,45.79%,11.41%
0,第15案,花蓮縣秀林鄉,1694,4326,6020,415,6435,12562,51.23%,13.49%
0,第15案,花蓮縣萬榮鄉,668,1986,2654,279,2933,5269,55.67%,12.68%
0,第15案,花蓮縣卓溪鄉,585,2002,2587,258,2845,4947,57.51%,11.83%
0,第15案,臺東縣,24813,62900,87713,8135,95848,185996,51.53%,13.34%
0,第15案,臺東縣臺東市,12992,31881,44873,3100,47973,87803,54.64%,14.8%
0,第15案,臺東縣成功鎮,1217,4110,5327,818,6145,12426,49.45%,9.79%
